idx,success,ecs,penalty,n_violations
0,0.0,0.07692307692307693,12.0,3
1,0.0,0.07692307692307693,12.0,3
2,0.0,0.07692307692307693,12.0,3
3,0.0,0.07692307692307693,12.0,3
4,0.0,0.07692307692307693,12.0,3
5,0.0,0.07692307692307693,12.0,3
6,0.0,0.07692307692307693,12.0,3
7,0.0,0.07692307692307693,12.0,3
8,0.0,0.05555555555555555,17.0,4
9,0.0,0.05555555555555555,17.0,4
10,0.0,0.07692307692307693,12.0,3
11,0.0,0.05555555555555555,17.0,4
12,0.0,0.07692307692307693,12.0,3
13,0.0,0.07692307692307693,12.0,3
14,0.0,0.05555555555555555,17.0,4
15,0.0,0.05555555555555555,17.0,4
16,0.0,0.05555555555555555,17.0,4
17,0.0,0.07692307692307693,12.0,3
18,0.0,0.05555555555555555,17.0,4
19,0.0,0.07692307692307693,12.0,3
20,0.0,0.05555555555555555,17.0,4
21,0.0,0.07692307692307693,12.0,3
22,0.0,0.05555555555555555,17.0,4
23,0.0,0.07692307692307693,12.0,3
24,0.0,0.07692307692307693,12.0,3
25,0.0,0.07692307692307693,12.0,3
26,0.0,0.07692307692307693,12.0,3
27,0.0,0.07692307692307693,12.0,3
28,0.0,0.07692307692307693,12.0,3
29,0.0,0.05555555555555555,17.0,4
30,0.0,0.07692307692307693,12.0,3
31,0.0,0.07692307692307693,12.0,3
32,0.0,0.05555555555555555,17.0,4
33,0.0,0.07692307692307693,12.0,3
34,0.0,0.07692307692307693,12.0,3
35,0.0,0.07692307692307693,12.0,3
36,0.0,0.05555555555555555,17.0,4
37,0.0,0.07692307692307693,12.0,3
38,0.0,0.07692307692307693,12.0,3
39,0.0,0.05555555555555555,17.0,4
40,0.0,0.07692307692307693,12.0,3
41,0.0,0.07692307692307693,12.0,3
42,0.0,0.07692307692307693,12.0,3
43,0.0,0.05555555555555555,17.0,4
44,0.0,0.07692307692307693,12.0,3
45,0.0,0.05555555555555555,17.0,4
46,0.0,0.07692307692307693,12.0,3
47,0.0,0.07692307692307693,12.0,3
48,0.0,0.07692307692307693,12.0,3
49,0.0,0.05555555555555555,17.0,4
