task_id,agent_type,success,ecs,penalty,n_violations
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_001,baseline,1.0,0.2,4.0,1
pay_001,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,baseline,1.0,0.2,4.0,1
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_002,careful,1.0,1.0,0.0,0
pay_002,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
pay_003,baseline,1.0,0.2,4.0,1
pay_003,baseline,1.0,0.2,4.0,1
pay_003,careful,1.0,1.0,0.0,0
pay_003,careful,1.0,1.0,0.0,0
